 [QUOTE_READTIME], [UNDERLYING_LAST], [EXPIRE_DATE], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020430, 0.006890, , , 0.000000, 13 x 3, 66.090000, 68.520000,343.0, 0.010000, 0.010000, 0 x 713, 0.020000, -0.000900, 0.000220, 0.000830, -0.010020, 0.000000, 1.362770, 0.000000,67.7,0.165
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020510, 0.007240, , , 0.000000, 13 x 3, 65.090000, 67.520000,344.0, 0.010000, 0.010000, 0 x 713, 0.020000, -0.001040, 0.000180, 0.000890, -0.010030, -0.000360, 1.347140, 0.000000,66.7,0.162
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020410, 0.007180, , , 0.000000, 13 x 2, 64.090000, 66.550000,345.0, 0.010000, 0.010000, 0 x 729, 0.020000, -0.001210, 0.000170, 0.000800, -0.010210, -0.000230, 1.326020, 0.000000,65.7,0.16
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021110, 0.007160, , 0.000000, 52.710000, 13 x 3, 63.090000, 65.520000,346.0, 0.010000, 0.010000, 0 x 2506, 0.020000, -0.001370, 0.000220, 0.000780, -0.009830, 0.000000, 1.298200, 0.000000,64.7,0.158
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021230, 0.006580, , , 0.000000, 13 x 3, 62.090000, 64.520000,347.0, 0.010000, 0.010000, 0 x 713, 0.010000, -0.001110, 0.000240, 0.000440, -0.010050, 0.000000, 1.281720, 0.000000,63.7,0.155
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020940, 0.006940, , , 0.000000, 13 x 3, 61.090000, 63.520000,348.0, 0.010000, 0.010000, 0 x 718, 0.020000, -0.001470, 0.000250, 0.000750, -0.010620, -0.000150, 1.262540, 0.000000,62.7,0.153
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020540, 0.007280, , , 0.000000, 13 x 3, 60.090000, 62.520000,349.0, 0.010000, 0.010000, 0 x 713, 0.020000, -0.001740, 0.000210, 0.000800, -0.010150, -0.000450, 1.240960, 0.000000,61.7,0.15
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021360, 0.007220, , 0.000000, 45.250000, 13 x 1, 59.090000, 61.550000,350.0, 0.010000, 0.010000, 0 x 2645, 0.010000, -0.001930, 0.000260, 0.001320, -0.010340, 0.000000, 1.225490, 2.000000,60.7,0.148
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020660, 0.007100, , , 0.000000, 13 x 2, 58.090000, 60.520000,351.0, 0.010000, 0.010000, 0 x 714, 0.010000, -0.001340, 0.000250, 0.000510, -0.009820, 0.000000, 1.197620, 0.000000,59.7,0.145
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020640, 0.006660, , , 0.000000, 5 x 2, 57.090000, 59.520000,352.0, 0.010000, 0.010000, 0 x 713, 0.040000, -0.001390, 0.000210, 0.001070, -0.010300, -0.000060, 1.181500, 0.000000,58.7,0.143
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021380, 0.006600, , 0.000000, 46.890000, 5 x 2, 56.090000, 58.520000,353.0, 0.010000, 0.010000, 0 x 2393, 0.030000, -0.001880, 0.000220, 0.000500, -0.010210, -0.000440, 1.161880, 0.000000,57.7,0.141
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021090, 0.006700, , , 0.000000, 13 x 2, 55.090000, 57.520000,354.0, 0.010000, 0.010000, 0 x 2127, 0.010000, -0.001970, 0.000230, 0.001020, -0.009820, 0.000000, 1.143000, 34.000000,56.7,0.138
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021480, 0.007420, , 0.000000, 51.090000, 13 x 2, 54.090000, 56.520000,355.0, 0.010000, 0.010000, 0 x 728, 0.010000, -0.001830, 0.000300, 0.001380, -0.010070, 0.000000, 1.125340, 33.000000,55.7,0.136
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.020900, 0.006850, , , 0.000000, 13 x 2, 53.090000, 55.520000,356.0, 0.010000, 0.010000, 0 x 2397, 0.010000, -0.001520, 0.000290, 0.001090, -0.010080, -0.000190, 1.104370, 1.000000,54.7,0.133
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021830, 0.006690, , 0.000000, 28.010000, 5 x 2, 52.090000, 54.520000,357.0, 0.010000, 0.010000, 0 x 2636, 0.030000, -0.001400, 0.000260, 0.001060, -0.010260, 0.000000, 1.086130, 0.000000,53.7,0.131
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021260, 0.006700, , 0.000000, 51.010000, 5 x 2, 51.090000, 53.520000,358.0, 0.010000, 0.010000, 0 x 731, 0.010000, -0.002160, 0.000280, 0.000720, -0.009310, 0.000000, 1.058970, 1.000000,52.7,0.128
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021750, 0.006960, , , 0.000000, 13 x 2, 50.090000, 52.520000,359.0, 0.010000, 0.010000, 0 x 728, 0.020000, -0.002130, 0.000310, 0.000520, -0.009700, 0.000000, 1.037480, 0.000000,51.7,0.126
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021070, 0.006920, , 0.000000, 46.750000, 11 x 2, 49.090000, 51.520000,360.0, 0.010000, 0.010000, 0 x 714, 0.020000, -0.001330, 0.000350, 0.000940, -0.009910, 0.000000, 1.022620, 0.000000,50.7,0.123
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021400, 0.007370, , 1.000000, 50.760000, 13 x 2, 48.090000, 50.520000,361.0, 0.010000, 0.010000, 0 x 860, 0.010000, -0.002310, 0.000350, 0.001270, -0.010420, -0.000370, 1.003810, 0.000000,49.7,0.121
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021930, 0.007090, , 1.000000, 49.090000, 13 x 2, 47.090000, 49.520000,362.0, 0.010000, 0.010000, 0 x 860, 0.010000, -0.002050, 0.000290, 0.001130, -0.009970, -0.000390, 0.983970, 0.000000,48.7,0.119
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021760, 0.007090, , , 0.000000, 13 x 2, 46.090000, 48.520000,363.0, 0.010000, 0.010000, 0 x 860, 0.010000, -0.001710, 0.000320, 0.001470, -0.010540, 0.000000, 0.965390, 0.000000,47.7,0.116
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022040, 0.007180, , 0.000000, 26.340000, 5 x 2, 45.090000, 47.520000,364.0, 0.010000, 0.010000, 0 x 924, 0.010000, -0.001770, 0.000320, 0.001600, -0.009780, 0.000000, 0.946340, 0.000000,46.7,0.114
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021640, 0.006960, , 2.000000, 45.830000, 13 x 2, 44.090000, 46.520000,365.0, 0.010000, 0.010000, 0 x 924, 0.010000, -0.002310, 0.000420, 0.000980, -0.009950, 0.000000, 0.927250, 0.000000,45.7,0.111
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022130, 0.007750, , 0.000000, 29.560000, 5 x 2, 43.090000, 45.520000,366.0, 0.010000, 0.010000, 0 x 800, 0.010000, -0.001980, 0.000370, 0.001140, -0.010370, 0.000000, 0.907890, 0.000000,44.7,0.109
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021870, 0.007400, , 0.000000, 13.940000, 2 x 2, 42.090000, 44.520000,367.0, 0.010000, 0.010000, 0 x 3171, 0.010000, -0.001920, 0.000410, 0.001490, -0.009660, -0.000470, 0.882970, 0.000000,43.7,0.106
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022330, 0.007120, , 8.000000, 42.620000, 13 x 2, 41.100000, 43.520000,368.0, 0.010000, 0.010000, 0 x 924, 0.010000, -0.001950, 0.000370, 0.000960, -0.009460, 0.000000, 0.863190, 1.000000,42.7,0.104
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.021760, 0.007500, , 0.000000, 10.960000, 13 x 2, 40.100000, 42.520000,369.0, 0.010000, 0.010000, 0 x 1161, 0.010000, -0.002240, 0.000380, 0.001250, -0.009410, -0.000410, 0.842690, 1.000000,41.7,0.102
 2022-08-01 16:00,410.72, 2022-08-01,0.0, 1.000000, 0.000000, 0.000000, -0.022430, 0.007270, , 7.000000, 39.700000, 13 x 2, 39.100000, 41.520000,370.0, 0.010000, 0.010000, 0 x 926, 0.010000, -0.002250, 0.000470, 0.001370, -0.009700, -0.000410, 0.827370, 1.000000,40.7,0.099
